review
The movie was absolutely fantastic, I loved every moment.
Worst film I have ever watched, total waste of time.
It was okay, not great but not terrible either.
Amazing acting and storyline, very emotional and powerful.
The plot was confusing and the pacing was too slow.
I enjoyed the movie, it was fun and entertaining.
Terrible acting and predictable plot, I didn’t like it.
One of the best movies this year, highly recommended.
Not my type of movie, but it had some good moments.
The cinematography was beautiful but the story was weak.
